                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.06259,                0.25541,                0.86736,                0.93368,                 0.9568,                 0.9643,                 0.9643,                0.09878,                0.18698,                0.29718,               0.007426,               0.007426,               0.007426
                     68,                0.06173,                 0.2561,                0.87013,                0.91177,                0.95158,                 0.9651,                 0.9651,                0.10305,                0.20905,                0.30426,              0.0073864,              0.0073864,              0.0073864
                     69,                0.06401,                0.25881,                0.87081,                0.94934,                0.90717,                0.96092,                0.96092,                0.10293,                0.20662,                0.30431,              0.0073468,              0.0073468,              0.0073468
                     70,                0.06108,                0.25415,                0.87053,                0.92983,                0.94876,                0.97039,                0.97022,                 0.0966,                0.23152,                0.29705,              0.0073072,              0.0073072,              0.0073072
                     71,                0.06109,                0.24933,                0.86938,                0.92764,                0.95955,                0.97027,                0.96959,                0.10276,                0.20275,                0.30404,              0.0072676,              0.0072676,              0.0072676
                     72,                0.05983,                0.25126,                0.87138,                 0.9585,                0.92239,                0.96375,                0.96375,                 0.1016,                0.23616,                0.30167,               0.007228,               0.007228,               0.007228
                     73,                    inf,                0.25007,                0.86954,                0.90481,                0.95334,                0.95835,                0.95835,                 0.0943,                0.20191,                0.29018,              0.0071884,              0.0071884,              0.0071884
                     74,                0.05947,                0.24706,                0.86883,                0.89017,                0.97402,                0.95817,                0.95683,                 0.0869,                 0.2043,                0.28563,              0.0071488,              0.0071488,              0.0071488
                     75,                0.05911,                0.24923,                 0.8699,                0.94472,                0.91557,                0.96414,                0.96414,                0.10106,                0.22746,                0.29561,              0.0071092,              0.0071092,              0.0071092
                     76,                0.06024,                0.24368,                 0.8715,                0.89386,                0.97631,                0.96204,                0.96149,                0.11231,                0.27468,                0.31251,              0.0070696,              0.0070696,              0.0070696
